station_name,station_code,station_lat,station_long
Karjoda ,KRJD,24.2082134,72.4657568
Jhulasan ,JUL,23.3292624,72.474632
Chitrasani ,CTT,24.26778,72.483507
Ambli Road ,ABD,23.0281537,72.4922059
Pansar ,PN,23.3098845,72.4938607
Jethi ,JTY,24.3159895,72.514567
Mokalsar ,MKSR,25.6126552,72.514567
Iqbal Gadh ,IQG,24.3484327,72.5337927
Khodiyar ,KHD,23.141901,72.5352716
Chharodi ,CE,23.1221857,72.542296
Chandlodiya ,CLDY,23.0882841,72.5517775
Naranpur ,NANR,23.0575372,72.5530171
Piplaj ,PPF,22.9635115,72.5618894
Samdhari Junction ,SMR,25.8372398,72.5731642
Marwar Lohwat ,MWT,26.9818754,72.5901989
Sarotra Road ,SZA,24.378743,72.5907847
Kalgupur ,KCP,23.0282975,72.5936793
Maninagar ,MAN,22.9953645,72.6043212
Mani Nagar ,MANI,22.9953645,72.6043212
Vatva ,VTA,22.9726594,72.6180867
Sardarnagar ,SANR,23.0877591,72.6235608
Jalor ,JOR,25.3444799,72.6253763
Ahmedabad Junction ,ADI,23.1869736,72.6268859
Rakhiyal ,RKH,23.0181232,72.6290659
Gandhinagar Cap ,GNC,23.2337462,72.6293459
Raika Bagh ,RKB,27.3175039,72.6328569
Shri Amirgadh ,SIM,24.4046442,72.6409775
Gandhinagar Jpr ,GADJ,23.2248196,72.6463769
Geratpur ,GER,22.9193962,72.6498566
Naroda ,NRD,23.070887,72.6712894
Jodhpur Junction ,JU,26.4902597,72.6718944
Mahesana Junction ,MSH,23.9445109,72.6737887
Barejadi ,BJD,22.894531,72.6786796
Maval ,MAA,24.4532377,72.7038047
Nenpur ,NEP,22.8463301,72.724494
Gholvad ,GVD,20.0803294,72.730405
Bordi ,BIO,20.1165562,72.7400099
Dahanu Road ,DRD,19.9915124,72.7435193
Pandoli ,PMO,22.4660514,72.7459205
Dabhoda ,DBO,23.1781191,72.7473981
Boisar ,BOR,19.8,72.75
Vijapur ,VJF,23.5609405,72.7510921
Mhmdvd Kheda Road ,MHD,22.8194066,72.752108
