54802,Aii Ju Fast Passenger,AII:0:BER:53:SEU:66:HP:86:SOD:119:MJ:140:RKZ:151:BOM:160:PMY:171:KAI:186:RT:199:LUNI:212:HWT:219:SZ:227:BANE:237:BGKT:240:JU:244
7130,Aii Kcg Special ,
19608,Aii Koaa Express,AII:0:BHL:132:COR:186:BUDI:320:KOTA:358:GUNA:543:ASKN:587:MNV:633:SGO:735:DMO:813:KMZ:922:BEHR:1033:SGRL:1181:CPU:1245:RNQ:1287:GHD:1386:DTO:1420:BRKA:1605:DHN:1723:ASN:1781:RNG:1800:DGR:1823:BWN:1887:BDC:1954:NH:1963:KOAA:1997
3138,Aii Koaa Urs Special ,
16209,Aii Mys Express,AII:0:BER:53:SOD:119:MJ:140:FA:207:SOH:262:ABR:306:PNU:358:MSH:423:ADI:491:ND:537:ANND:555:BRC:591:BH:661:ST:720:BL:788:VAPI:812:BSR:935:BIRD:962:KYN:987:KJT:1034:LNL:1062:PUNE:1125:STR:1271:KRD:1329:SLI:1397:MRJ:1404:BGM:1542:LD:1593:DWR:1663:UBL:1683:HVR:1758:RNR:1791:HRR:1814:DVG:1827:RRB:1942:ASK:1987:TTR:2012:TK:2083:YPR:2147:MWM:2149:SBC:2152:MYA:2246:MYS:2290
22211,Aii Nzm Duronto,AII:0:NZM:386
18422,Aii Puri Express,AII:0:BER:53:MJ:140:RANI:192:FA:207:SOH:262:ABR:306:PNU:358:MSH:423:SBI:486:ADI:492:BRC:592:ST:721:NDB:881:AN:976:JL:1032:BSL:1056:MKU:1106:AK:1196:BD:1275:WR:1370:NGP:1449:G:1579:DURG:1713:R:1749:MSMD:1803:KRAR:1854:KBJ:1919:TIG:1952:BLGR:2015:BRGA:2091:SBP:2134:RAIR:2204:ANGL:2290:TLHD:2302:DNKL:2350:MCS:2405:BBS:2412:KUR:2431:PURI:2474
8422,Aii Puri Express ,
19654,Aii Rtm Express,AII:0:NSD:24:BJNR:66:SSR:92:BHL:132:HMG:150:GGR:164:CNA:179:COR:186:NBH:215:JWO:226:NMH:242:MLG:267:PIP:275:MDS:291:DLD:306:DOD:325:JAO:342:NLI:362:RTM:375
12988,Aii Sdah Express,AII:0:KSG:29:JP:135:BTE:322:AH:350:AF:376:TDL:399:CNB:628:ALD:823:MGS:975:BBU:1028:SSM:1076:GAYA:1179:KQR:1255:PNME:1330:DHN:1377:ASN:1436:DGR:1478:BWN:1541:SDAH:1642
19603,Aii Sln Express,ADI:0:SBI:6:MSH:68:PNU:133:ABR:186:FA:285:MJ:351:AII:491:JP:626:AWR:776:RE:851:GGN:902:DEC:919:DLI:933:MB:1094:BE:1184:LKO:1419:NHH:1509:SLN:1559
9609,Aii St Special ,
9615,Aii Udz Urs Special ,
19607,Aii Wkly Express,KOAA:0:NH:34:BDC:43:BWN:110:DGR:174:RNG:198:ASN:216:DHN:275:BRKA:392:DTO:577:GHD:611:RNQ:710:CPU:752:SGRL:816:BEHR:965:KMZ:1075:DMO:1184:SGO:1262:MNV:1365:ASKN:1410:GUNA:1455:KOTA:1639:BUDI:1677:COR:1811:BHL:1865:AII:1997
17063,Ajanta Express,MMR:0:NSL:25:RGO:53:LSR:80:AWB:114:J:176:PTU:221:SELU:249:MVO:263:PBN:291:PAU:319:NED:350:MUE:372:UMRI:392:DAB:422:BSX:431:NZB:461:KMC:513:MED:593:BMO:607:MJF:617:SC:621:SC:621
17064,Ajanta Express,SC:0:MJF:4:BMO:14:MED:28:KMC:109:NZB:161:BSX:190:DAB:200:UMRI:230:MUE:249:NED:272:PAU:302:PBN:331:MVO:358:SELU:373:PTU:400:J:445:AWB:508:LSR:541:RGO:569:NSL:597:MMR:621
19611,Ajmer Asr Express,AII:0:KSG:29:FL:80:JP:135:GADJ:141:GTJT:146:DO:196:BKI:225:BU:238:RHG:250:AWR:286:KRH:313:RE:360:CKD:416:BNW:443:HSR:503:SSA:584:KNL:617:BTI:660:GJUT:686:KKP:702:FDK:715:FZR:747:TWB:778:MOGA:802:JGN:831:LDH:871:PGW:907:JUC:928:BEAS:964:ASR:1007
19613,Ajmer Asr Express,AII:0:KSG:29:FL:80:JP:135:GADJ:141:GTJT:146:DO:196:BKI:225:BU:238:RHG:250:AWR:286:KRH:313:RE:360:CKD:416:BNW:443:HSR:503:JHL:584:SAG:634:DUI:650:MET:667:LDH:712:PGW:748:JUC:769:BEAS:805:ASR:848
16210,Ajmer Express,MYS:0:MYA:45:SBC:139:YPR:144:TK:208:TTR:279:ASK:304:RRB:349:DVG:464:HRR:477:RNR:500:HVR:533:UBL:608:DWR:628:LD:698:BGM:749:MRJ:886:SLI:894:KRD:962:STR:1020:PUNE:1165:LNL:1229:KJT:1257:KYN:1304:BIRD:1329:BSR:1356:VAPI:1479:BL:1503:ST:1571:BH:1630:BRC:1700:ANND:1736:ND:1754:ADI:1800:MSH:1868:PNU:1933:ABR:1985:SOH:2029:FA:2084:MJ:2151:SOD:2171:BER:2238:AII:2290
12989,Ajmer Express,DDR:0:BVI:24:BL:189:NVS:228:ST:257:BH:316:BRC:386:ANND:422:ND:440:ADI:486:MSH:554:UJA:575:CHP:602:PNU:619:ABR:671:SOH:715:JWB:754:FA:770:RANI:785:MJ:837:SOD:857:BER:924:AII:976
19411,Ajmer Intercity,ADI:0:SBI:7:MSH:70:UJA:91:SID:105:PNU:135:ABR:187:SOH:231:FA:286:MJ:353:BER:440:AII:492
12015,Ajmer Shatabdi,NDLS:0:DEC:16:GGN:32:RE:84:AWR:158:JP:309:KSG:414:AII:443
12016,Ajmer Shatabdi,AII:0:KSG:29:JP:135:AWR:286:RE:360:GGN:411:DEC:428:NDLS:443
9650,Ajmer Special ,
12120,Ajni Ami Express,AJNI:3:WR:79:PLO:109:DMN:129:AMI:184
11202,Ajni Ltt Express,AJNI:0:WR:76:PLO:106:DMN:126:CND:143:BD:172:MZR:213:AK:251:WHM:329:HNL:377:BMF:435:PAU:457:PBN:486:SELU:528:PTU:556:J:601:AWB:663:LSR:697:RGO:724:MMR:776:NK:850:DVL:855:IGP:900:KYN:983:TNA:1004:LTT:Lo,
17640,Ak Kcg Express,AK:0:WHM:79:HNL:127:BMF:185:PAU:207:NED:238:MUE:260:UMRI:280:DAB:309:BSX:319:NZB:349:KMC:400:AKE:427:MZL:437:WDR:443:MED:481:GWV:485:BMO:495:MJF:505:STPD:509:KCG:514
7507,Ak Qln Special ,
12318,Akal Takhat Express,ASR:0:BEAS:43:JUC:79:LDH:136:UMB:250:SRE:331:NBD:425:MB:523:BE:614:LKO:849:SLN:989:BSB:1132:MGS:1149:PNBE:1361:PNC:1371:MKA:1450:KIUL:1484:JAJ:1538:JSME:1582:MDP:1611:ASN:1692:SDAH:1898
12317,Akal Takht Express,SDAH:0:ASN:207:MDP:288:JSME:317:JAJ:361:KIUL:415:MKA:449:PNC:528:PNBE:538:MGS:750:BSB:767:SLN:910:LKO:1050:BE:1285:MB:1376:NBD:1474:SRE:1568:UMB:1649:LDH:1763:JUC:1820:BEAS:1856:ASR:1898
14311,Ala Hazrat Express,BE:0:MIL:40:RMU:64:MB:91:AMRO:122:HPU:195:PKW:206:GZB:232:DLI:252:DEE:256:DEC:266:PM:269:GGN:283:GHH:293:PTRD:313:RE:334:KRH:382:AWR:408:MKH:428:BKI:469:DO:498:GADJ:554:JP:559:FL:614:KSG:665:AII:694:BER:746:MJ:834:FA:900:ABR:999:PNU:1051:MSH:1116:ADI:1184:VG:1250:DHG:1315:HVD:1347:SIOB:1432:BCOB:1448:GIMB:1485:AI:1494:AJE:1501:BHUJ:1543
14312,Ala Hazrat Express,BHUJ:0:AJE:42:AI:49:GIMB:58:BCOB:95:SIOB:111:HVD:197:DHG:228:VG:294:ADI:359:MSH:427:PNU:492:ABR:545:FA:643:MJ:710:BER:797:AII:850:KSG:879:NRI:919:FL:930:JP:984:GADJ:990:DO:1046:BKI:1075:RHG:1099:AWR:1135:KRH:1162:RE:1209:PTRD:1230:GHH:1251:GGN:1261:PM:1274:DEC:1277:DEE:1287:DLI:1291:GZB:1311:PKW:1337:HPU:1348:AMRO:1422:MB:1452:RMU:1480:MIL:1503:BE:1543
7092,Ald  Hyb  Special ,
4013,Ald  Nzm  Special ,
9430,Ald Adi Special ,
9428,Ald Adi Special ,
4127,Ald Anvt Special ,
4117,Ald Anvt Special ,
7240,Ald Cct Special ,
4001,Ald Dli Superfast Special ,
12276,Ald Duronto Express,NDLS:0:ALD:634
12293,Ald Duronto Express,LTT:Lo:ALD:1348
14115,Ald Hw Express,ALD:0:PRG:7:PBH:59:AME:95:GNG:108:RBL:155:LKO:232:HRI:334:SPN:397:BE:468:RMU:531:MB:558:NBD:656:LRJ:698:HW:725
4120,Ald Hwh Special ,
9314,Ald Indb Special ,
22442,Ald Intercity,CNB:0:SSL:23:AUNG:41:BKO:47:FTP:78:KGA:113:SRO:138:BRE:158:ALD:195
